Time (s),Altitude (m),Velocity (m/s),Velocity Magnitude (m/s),Accel <Z> (rad/s)
5.115000000000163638e+00,1.658997547630531699e+03,4.263495569965388654e+02,4.264322064269024395e+02,-3.862347311778012227e+01
5.117500000000164029e+00,1.660063366713295181e+03,4.262530062462592468e+02,4.263356419745874746e+02,-3.860969517553528618e+01
5.120000000000164420e+00,1.661128944438733470e+03,4.261564899415982381e+02,4.262391115737088398e+02,-3.859592112916432427e+01
5.122500000000164810e+00,1.662194280892954566e+03,4.260600080717035212e+02,4.261426152060114987e+02,-3.858215202389391862e+01
5.125000000000165201e+00,1.663259376162038734e+03,4.259635606240526045e+02,4.260461528528651911e+02,-3.856838781462062826e+01
5.127500000000165592e+00,1.664324230332034631e+03,4.258671475853541324e+02,4.259497244954585540e+02,-3.855462958331138879e+01
5.130000000000165983e+00,1.665388843488955672e+03,4.257707689402211031e+02,4.258533301145329801e+02,-3.854087755702217066e+01
5.132500000000166374e+00,1.666453215718777301e+03,4.256744246728705434e+02,4.257569696907369234e+02,-3.852713191877536758e+01
5.135000000000166764e+00,1.667517347107434944e+03,4.255781147672183238e+02,4.256606432046470445e+02,-3.851339278132516597e+01
5.137500000000167155e+00,1.668581237740823326e+03,4.254818392057557048e+02,4.255643506365474877e+02,-3.849966138592198206e+01
5.140000000000167546e+00,1.669644887704791927e+03,4.253855979689020046e+02,4.254680919663113059e+02,-3.848593772035826532e+01
5.142500000000167937e+00,1.670708297085141794e+03,4.252893910373414315e+02,4.253718671738694752e+02,-3.847222174434549657e+01
5.145000000000168328e+00,1.671771465967624636e+03,4.251932183908558045e+02,4.252756762389833511e+02,-3.845851430705582885e+01
5.147500000000168718e+00,1.672834394437941228e+03,4.250970800070662108e+02,4.251795191410088250e+02,-3.844481633934410780e+01
5.150000000000169109e+00,1.673897082581735049e+03,4.250009758628084455e+02,4.250833958591719011e+02,-3.843112742025015649e+01
5.152500000000169500e+00,1.674959530484591824e+03,4.249049059344503121e+02,4.249873063726340661e+02,-3.841744837981579508e+01
5.155000000000169891e+00,1.676021738232037251e+03,4.248088701969482486e+02,4.248912506603197698e+02,-3.840377941921195060e+01
5.157500000000170282e+00,1.677083705909534274e+03,4.247128686244185474e+02,4.247952287010317036e+02,-3.839012103676702026e+01
5.160000000000170672e+00,1.678145433602480352e+03,4.246169011894636469e+02,4.246992404733316562e+02,-3.837647415685883345e+01
5.162500000000171063e+00,1.679206921396202915e+03,4.245209678635992532e+02,4.246032859556278822e+02,-3.836283845142128257e+01
5.165000000000171454e+00,1.680268169375959360e+03,4.244250686183378889e+02,4.245073651263786587e+02,-3.834921432907802341e+01
5.167500000000171845e+00,1.681329177626934097e+03,4.243292034242484192e+02,4.244114779639221524e+02,-3.833560229625074101e+01
5.170000000000172236e+00,1.682389946234238323e+03,4.242333722509637823e+02,4.243156244464824454e+02,-3.832200242243000332e+01
5.172500000000172626e+00,1.683450475282906837e+03,4.241375750680863916e+02,4.242198045523357450e+02,-3.830841457786810622e+01
5.175000000000173017e+00,1.684510764857898266e+03,4.240418118444462721e+02,4.241240182596807813e+02,-3.829483974192297069e+01
5.177500000000173408e+00,1.685570815044092342e+03,4.239460825468472081e+02,4.240282655464238815e+02,-3.828127843839585154e+01
5.180000000000173799e+00,1.686630625926284893e+03,4.238503871413241200e+02,4.239325463904054914e+02,-3.826773088180070204e+01
5.182500000000174190e+00,1.687690197589186710e+03,4.237547255925413765e+02,4.238368607693006425e+02,-3.825419725676295712e+01
5.185000000000174580e+00,1.688749530117419908e+03,4.236590978663567171e+02,4.237412086610585220e+02,-3.824067747354295221e+01
5.187500000000174971e+00,1.689808623595521340e+03,4.235635039276641010e+02,4.236455900435310582e+02,-3.822717192572861933e+01
5.190000000000175362e+00,1.690867478107939405e+03,4.234679437404773239e+02,4.235500048944911669e+02,-3.821368090414556917e+01
5.192500000000175753e+00,1.691926093739032467e+03,4.233724172681939422e+02,4.234544531916778851e+02,-3.820020457776165301e+01
5.195000000000176144e+00,1.692984470573066801e+03,4.232769244735018788e+02,4.233589349127804553e+02,-3.818674345763584199e+01
5.197500000000176534e+00,1.694042608694215005e+03,4.231814653189413207e+02,4.232634500355316050e+02,-3.817329711258803115e+01
5.200000000000176925e+00,1.695100508186555771e+03,4.230860397665481401e+02,4.231679985376478044e+02,-3.815986630594616003e+01
5.202500000000177316e+00,1.696158169134073205e+03,4.229906477780463092e+02,4.230725803968581999e+02,-3.814645053281203246e+01
5.205000000000177707e+00,1.697215591620655459e+03,4.228952893157474477e+02,4.229771955910470638e+02,-3.813304987467529372e+01
5.207500000000178098e+00,1.698272775730097010e+03,4.227999643411975512e+02,4.228818440980323317e+02,-3.811966489898917132e+01
5.210000000000178488e+00,1.699329721546094333e+03,4.227046728154446669e+02,4.227865258956070420e+02,-3.810629539681179523e+01
5.212500000000178879e+00,1.700386429152237270e+03,4.226094146913272880e+02,4.226912409603102674e+02,-3.809294141041924320e+01
5.215000000000179270e+00,1.701442898632019705e+03,4.225141899388652860e+02,4.225959892714637363e+02,-3.807960341925429049e+01
5.217500000000179661e+00,1.702499130068847990e+03,4.224189985154187639e+02,4.225007708064184726e+02,-3.806628144978716932e+01
5.220000000000180052e+00,1.703555123546022060e+03,4.223238403838720387e+02,4.224055855434392015e+02,-3.805297554382196523e+01
5.222500000000180442e+00,1.704610879146741354e+03,4.222287154840001904e+02,4.223104334571854110e+02,-3.803968529634175155e+01
5.225000000000180833e+00,1.705666396954025913e+03,4.221336237874512562e+02,4.222153145273769610e+02,-3.802641103720087301e+01
5.227500000000181224e+00,1.706721677050921016e+03,4.220385652724883130e+02,4.221202287347810511e+02,-3.801315293105984949e+01
5.230000000000181615e+00,1.707776719520358029e+03,4.219435398870578524e+02,4.220251760554261864e+02,-3.799991083037416217e+01
5.232500000000182006e+00,1.708831524445141667e+03,4.218485476138397416e+02,4.219301564708137562e+02,-3.798668792030284180e+01
5.235000000000182396e+00,1.709886091908005028e+03,4.217535883932548586e+02,4.218351699558202199e+02,-3.797347247385214786e+01
5.237500000000182787e+00,1.710940421991595940e+03,4.216586622242637077e+02,4.217402164945164031e+02,-3.796027808420230087e+01
5.240000000000183178e+00,1.711994514778495613e+03,4.215637690158274040e+02,4.216452960568802837e+02,-3.794709928195278792e+01
5.242500000000183569e+00,1.713048370351086533e+03,4.214689087477063367e+02,4.215504086239751018e+02,-3.793393578447718539e+01
5.245000000000183960e+00,1.714101988791679560e+03,4.213740813515800596e+02,4.214555541693000578e+02,-3.792078772915296980e+01
5.247500000000184350e+00,1.715155370182405704e+03,4.212792868129944850e+02,4.213607326748200990e+02,-3.790765522063405513e+01
